"Period","Manual Transaction","Manual Transaction (Failed)","Recurring Charge","Recurring Charge (Failed)","Refund","Refund (Failed)","Verification","Verification (Failed)","Pre-authorisation","Pre-authorisation (Failed)","Reversal","Reversal (Failed)","Other","Other (Failed)"
2026-03-23 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-19 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-18 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-14 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-13 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-12 00:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-03-11 00:00:00,7,0,0,4,0,0,22,0,0,0,0,0,0,0
2026-03-10 00:00:00,10,0,0,4,0,0,24,0,4,0,0,0,0,0
2026-03-09 00:00:00,32,0,0,4,0,0,78,0,8,0,0,0,0,0
2026-03-08 00:00:00,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2026-03-07 00:00:00,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2026-03-06 00:00:00,17,0,0,6,0,0,42,0,7,0,0,0,0,0
2026-03-05 00:00:00,0,0,0,6,0,0,2,0,1,0,0,0,0,0
2026-03-04 00:00:00,10,0,0,7,0,0,15,1,4,0,0,0,0,0
2026-03-03 00:00:00,27,0,0,8,0,0,62,0,9,0,0,0,0,0
2026-03-02 00:00:00,14,0,0,7,0,0,35,5,10,0,0,0,0,0
2026-03-01 00:00:00,0,0,120,14,0,0,0,0,0,0,0,0,0,0
2026-02-28 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-27 00:00:00,30,0,0,0,0,0,105,0,11,0,0,0,0,0
2026-02-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-25 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-24 00:00:00,2,0,0,0,0,0,2,0,0,0,0,0,0,0
2026-02-23 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-22 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-20 00:00:00,4,0,0,0,0,0,16,0,4,0,0,0,0,0
2026-02-19 00:00:00,27,0,0,0,0,0,93,1,16,0,0,0,0,0
2026-02-18 00:00:00,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2026-02-17 00:00:00,21,0,0,0,0,0,58,0,7,0,0,0,0,0
2026-02-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-15 00:00:00,2,0,0,0,0,0,0,0,4,0,0,0,0,0
2026-02-14 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-13 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-12 00:00:00,7,0,0,0,0,0,2,0,2,0,0,0,0,0
2026-02-11 00:00:00,10,0,0,0,0,0,60,0,10,0,0,0,0,0
2026-02-10 00:00:00,4,0,0,0,0,0,6,0,2,0,0,0,0,0
2026-02-09 00:00:00,18,0,0,0,0,0,64,0,5,0,1,0,0,0
2026-02-08 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-06 00:00:00,3,0,0,0,0,0,4,0,2,0,0,0,0,0
2026-02-05 00:00:00,4,0,0,0,0,0,18,0,2,0,0,0,0,0
2026-02-04 00:00:00,2,0,0,0,0,0,10,0,2,0,0,0,0,0
2026-02-03 00:00:00,4,0,0,0,0,0,12,0,2,0,0,0,0,0
2026-02-02 00:00:00,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2026-02-01 00:00:00,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-01-31 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 00:00:00,11,0,0,0,0,0,20,0,3,0,0,0,0,0
2026-01-29 00:00:00,7,0,0,0,0,0,10,0,1,0,0,0,0,0
2026-01-28 00:00:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0
2026-01-27 00:00:00,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2026-01-26 00:00:00,7,0,0,0,0,0,0,0,7,0,0,0,0,0
2026-01-25 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-24 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-23 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-22 00:00:00,0,0,0,0,0,0,17,0,0,0,0,0,0,0
2026-01-21 00:00:00,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2026-01-20 00:00:00,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2026-01-19 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-18 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-14 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-13 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-11 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-09 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-08 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-05 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-04 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-02 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
